duration_seconds_int,comments,city,date_posted,longitude,state,duration_seconds,duration_hours,id,shape,datetime,latitude,country
120,This dot of light was moving quite fast and then it stopped and took off 90 degrees from the direction it was traveling,harker heights,2005-01-27,-97.6594444,tx,120,2 minutes,9406,light,1996-11-15 10:21:00.000000,31.0833333,us
60,driving south and saw unusual lights to the left. two lights hovered&#44 blinked in sequence&#44 then a long row lit up. behind&#44saw the shape,i-35 (about 3 miles north of west),1998-11-19,-97.691957,tx,60,1 minute ?,9430,disk,1998-11-15 18:49:00.000000,30.629951,
30,a black object (abyss)hovered 200 feet over me while deer hunting and 3 months later&#44 i underwent emergency brain surgery.,comanche,2004-06-04,-98.6033333,tx,30,approx 30 sec,9452,other,2000-11-15 17:55:00.000000,31.8972222,us
10,A black cube appears in the sky above  me.,sidney,2013-05-15,-98.7369444,tx,10,10 seconds,9454,other,2000-11-15 18:00:00.000000,31.9491667,us
300,I was looking at stars outside my Grandpa&#39s window.  I was looking SE&#44and I saw a very large&#44 very bright&#44 blue&#44 moving star.  It was m,texas (location unspecified),2005-09-02,-99.901813,tx,300,5 minutes,9532,other,2004-11-15 11:00:00.000000,31.968599,
300,Low flying craffts over the city with figures inside,san antonio,2008-03-04,-98.4933333,tx,300,5 mintues,9548,other,2005-11-15 01:00:00.000000,29.4238889,us
600,Winter of 05&#44 Dallas Texas. Light Pair exhibiting impossible aerial behaviour&#44 &amp; not fitting air traffic profile.,the colony,2006-10-30,-96.8861111,tx,600,5-10 minutes.,9549,light,2005-11-15 02:00:00.000000,33.0888889,us
300,Large shadow flew over head very fast,addison,2006-12-07,-96.8288889,tx,300,5 minutes,9577,teardrop,2006-11-15 19:00:00.000000,32.9616667,us
12,Steady light low in sky. Made no noise. Traversed sky in about 11 seconds.,hurst,2007-11-28,-97.1702778,tx,12,12 seconds,9594,circle,2007-11-15 21:00:00.000000,32.8233333,us
420,Low&#44 slow moving triangle or arrowhead shaped object with white lights and one red light in center,burleson,2009-01-10,-97.3205556,tx,420,5 to 7 min.,9610,triangle,2008-11-15 20:00:00.000000,32.5419444,us
8,3 oval shaped orange colored orbs flew by in a triangle formation.,odessa,2009-12-12,-102.3672222,tx,8,8 seconds,9625,formation,2009-11-15 19:15:00.000000,31.8455556,us
15,I saw a dark retangular object slowly fly over my house.,odessa,2009-12-12,-102.3672222,tx,15,15 seconds,9627,rectangle,2009-11-15 20:00:00.000000,31.8455556,us
120,Oval shape light&#44gliding within some clouds at high speed&#44 2-3 min.it went at a upright angle&#44sat in a clound then it just vanish.,brownsville,2012-12-20,-97.4972222,tx,120,1-2 minutes,9665,oval,2012-11-15 05:15:00.000000,25.9013889,us
5,Triangular object w/three hemi-spherical &#39projections&#39 from the bottom&#44 travelling N-S reflecting pink glow of city lights.,austin (round rock),1998-11-19,-97.7427778,tx,5,5 seconds,9721,triangle,1998-11-16 02:30:00.000000,30.2669444,us
5,Saw a glowing fireball plunge through the sky towards earth.,austin,1999-01-28,-97.7427778,tx,5,5 seconds,9726,fireball,1998-11-16 06:40:00.000000,30.2669444,us
3600,Extremely clear night&#44 south/southeast of Austin&#44TX.  Possibly btween Austin/San Marcos.  11pm 11/16/98.  Flashing object.  Remained st,austin/san marcos,1999-01-28,-97.733982,tx,3600,1+ hr,9734,unknown,1998-11-16 23:00:00.000000,30.26194,
